domain,topic,input,output,unit,source
Telecommunications,RBS architecture,What are the main functional blocks of a Huawei-style RBS?,"Radio Unit (RU/RRU), Digital Unit (DU), power supply and power distribution components are core functional blocks. The DU may contain technology-specific processing such as GSM, WCDMA and LTE functions.",categorical,user-provided technical notes
Telecommunications,RBS power,What DC supply is commonly used in the referenced RBS notes?,-48 V DC.,V DC,user-provided technical notes
Mobile Communications,2G bandwidth,What channel bandwidth was recorded for GSM in the user's notes?,200 kHz,kHz,user-provided technical notes
Mobile Communications,3G bandwidth,What channel bandwidth was recorded for WCDMA/3G?,5 MHz,MHz,user-provided technical notes
Mobile Communications,4G bandwidth,What LTE bandwidths were recorded?,"5, 10 and 20 MHz",MHz,user-provided technical notes
Mobile Communications,2G/3G frequency range,Which frequency range was recorded for 2G GSM and 3G WCDMA?,880–960 MHz,MHz,user-provided technical notes
Mobile Communications,2G/4G frequency range,Which frequency range was recorded for 2G GSM and 4G LTE?,1710–1880 MHz,MHz,user-provided technical notes
Mobile Communications,3G/4G band,Which frequency was recorded for 3G and 4G?,2100 MHz,MHz,user-provided technical notes
5G,sub-6 GHz,What role does the referenced ~3.5 GHz band have in 5G?,It is used as a sub-6 GHz band where wider coverage and propagation are generally more favorable than at mmWave frequencies.,GHz,scientific summary based on user's seminar topic
5G,mmWave,Which mmWave bands were included in the user's 5G/6G presentation?,"Approximately 24, 28, 39 and 60 GHz.",GHz,user-provided seminar notes
6G,upper mmWave / THz,Which higher-frequency ranges were included in the user's presentation?,Approximately 90–140 GHz and 0.1–1 THz.,GHz/THz,user-provided seminar notes
5G/6G,antenna technologies,Which antenna technologies were listed for advanced wireless systems?,"Phased arrays, Massive MIMO, AI-based beam tracking and reconfigurable antennas.",categorical,user-provided seminar notes
Antenna Engineering,HPBW,What does HPBW mean?,Half-Power Beamwidth: the angular separation between the two directions where the radiation intensity is one-half of the peak value (−3 dB in power).,degrees,standard engineering definition
Antenna Engineering,isotropic antenna,What is an isotropic radiator?,An ideal reference radiator that radiates equally in all directions.,categorical,standard engineering definition
Antenna Engineering,dipole,What is a dipole antenna?,"A common wire antenna consisting of two conductive arms, often modeled as a center-fed half-wave radiator.",categorical,standard engineering definition
Antenna Engineering,monopole,What is a monopole antenna?,"A radiator commonly formed as approximately one half of a dipole over a conducting ground plane, with the image principle used in analysis.",categorical,standard engineering definition
Antenna Engineering,patch antenna,What is a microstrip patch antenna?,A planar printed antenna consisting of a conductive patch separated from a ground plane by a dielectric substrate.,categorical,standard engineering definition
Digital Communications,FSK,What is FSK?,Frequency Shift Keying represents digital symbols using different carrier frequencies.,categorical,standard engineering definition
Digital Communications,ASK,What is ASK?,Amplitude Shift Keying represents digital symbols using different carrier amplitudes.,categorical,standard engineering definition
Digital Communications,PSK,What is PSK?,Phase Shift Keying represents digital symbols using different carrier phases.,categorical,standard engineering definition
Digital Communications,QPSK,What is QPSK?,Quadrature Phase Shift Keying uses four phase states and can carry 2 bits per symbol under the usual Gray-coded mapping.,bits/symbol,standard engineering definition
DSP,digital filtering,What is the purpose of a digital filter?,To selectively attenuate or pass components of a discrete-time signal according to frequency or other signal characteristics.,categorical,standard engineering definition
MIMO,SISO,What is the SISO configuration used in the project?,1 transmit antenna × 1 receive antenna (1×1).,antennas,user-provided project specification
MIMO,SIMO,What SIMO configuration was used?,"1 transmit antenna × 4 receive antennas (1×4), with MRC for BER analysis.",antennas,user-provided project specification
MIMO,MISO,What MISO configuration was used?,"4 transmit antennas × 1 receive antenna (4×1), with MRT for BER analysis.",antennas,user-provided project specification
MIMO,MIMO configurations,Which MIMO configurations were included?,"2×2, 4×4, 8×8 and 16×16.",antennas,user-provided project specification
